out_file;xmin;ymin;xmax;ymax;maxiter;xres;yres;run_time;err;mean;mean_time;mean_err;bin_time;bin_err;n_threads
prof.bmp;-0.7489;0.1007;-0.74925;0.10035000000000005;1000;256;256;1.01501E-01;0.0;2.217E+02;4.60148E-05;0.0;3.60012E-05;0.0;8
c_tasks.bmp;-0.7489;0.1007;-0.74925;0.10035000000000005;1000;256;256;4.59142E-02;38160.391441912645;2.217E+02;7.94625E-03;0.0;1.32084E-03;0.0;8
c_schedule_static.bmp;-0.7489;0.1007;-0.74925;0.10035000000000005;1000;256;256;2.78559E-02;38160.391441912645;2.217E+02;7.77555E-03;0.0;1.11921E-02;0.0;8
c_schedule_dynamic.bmp;-0.7489;0.1007;-0.74925;0.10035000000000005;1000;256;256;2.55888E-02;38160.391441912645;2.217E+02;9.04822E-03;0.0;1.28729E-02;0.0;8
c_media_atomic.bmp;-0.7489;0.1007;-0.74925;0.10035000000000005;1000;256;256;1.90773E-02;38160.391441912645;2.217E+02;2.41809E-02;0.0;1.21739E-02;0.0;8
prof.bmp;-0.7489;0.1007;-0.74925;0.10035000000000005;1000;512;512;2.32872E-01;0.0;2.219E+02;1.09196E-04;0.0;1.10865E-04;0.0;8
c_tasks.bmp;-0.7489;0.1007;-0.74925;0.10035000000000005;1000;512;512;2.22144E-01;76406.6559142592;2.219E+02;1.55101E-02;0.0;1.44184E-02;0.0;8
c_schedule_static.bmp;-0.7489;0.1007;-0.74925;0.10035000000000005;1000;512;512;9.17933E-02;76406.6559142592;2.219E+02;4.59170E-03;0.0;2.55392E-02;0.0;8
c_schedule_dynamic.bmp;-0.7489;0.1007;-0.74925;0.10035000000000005;1000;512;512;7.92766E-02;76406.6559142592;2.219E+02;1.83513E-02;0.0;6.48570E-03;0.0;8
c_media_atomic.bmp;-0.7489;0.1007;-0.74925;0.10035000000000005;1000;512;512;6.71375E-02;76406.6559142592;2.219E+02;3.47528E-02;0.0;2.35162E-02;0.0;8
prof.bmp;-0.7489;0.1007;-0.74925;0.10035000000000005;1000;1024;1024;9.34833E-01;0.0;2.220E+02;4.24623E-04;0.0;4.06504E-04;0.0;8
c_tasks.bmp;-0.7489;0.1007;-0.74925;0.10035000000000005;1000;1024;1024;8.08347E-01;152849.8974288174;2.220E+02;1.67515E-02;0.0;2.02680E-02;0.0;8
