alg;xmin;xmax;ymin;ymax;xres;yres;maxiter;ThpBlk;outfile;t_mandel;e_mandel;media;t_media;e_media;t_mandel;t_binarizado;e_binarizado
prof;-0.74883;-0.74875;0.10109;0.10116999999999997;1024;1024;1000;32;out.bmp;1.98815E-01;0.0;317.16965770721436;1.74415E-01;0.0;1.31280E-01;5.96786E-03;0.0
device;-0.74883;-0.74875;0.10109;0.10116999999999997;1024;1024;1000;32;out.bmp;1.60462E-01;0.0;317.16965770721436;3.68810E-03;0.0;1.58237E-01;6.13117E-03;0.0
unified;-0.74883;-0.74875;0.10109;0.10116999999999997;1024;1024;1000;32;out.bmp;1.56317E-01;0.0;317.16965770721436;3.68333E-03;0.0;1.56044E-01;6.03104E-03;0.0
pinned;-0.74883;-0.74875;0.10109;0.10116999999999997;1024;1024;1000;32;out.bmp;1.41110E-01;0.0;317.16965770721436;3.60799E-03;0.0;1.56330E-01;6.06441E-03;0.0
device2D;-0.74883;-0.74875;0.10109;0.10116999999999997;1024;1024;1000;32;out.bmp;1.11584E-01;0.0;317.16965770721436;3.61109E-03;0.0;1.12107E-01;6.02317E-03;0.0
unified2D;-0.74883;-0.74875;0.10109;0.10116999999999997;1024;1024;1000;32;out.bmp;1.56192E-01;0.0;317.16965770721436;3.74007E-03;0.0;1.56063E-01;6.04296E-03;0.0
pinned2D;-0.74883;-0.74875;0.10109;0.10116999999999997;1024;1024;1000;32;out.bmp;1.56381E-01;0.0;317.16965770721436;3.70026E-03;0.0;1.46505E-01;5.97286E-03;0.0
binariza2D;-0.74883;-0.74875;0.10109;0.10116999999999997;1024;1024;1000;32;out.bmp;1.11938E-01;0.0;317.16965770721436;3.63350E-03;0.0;1.11586E-01;6.00886E-03;0.0
mediaAlumnSum;-0.74883;-0.74875;0.10109;0.10116999999999997;1024;1024;1000;32;out.bmp;1.11838E-01;0.0;317.16965770721436;3.76344E-03;0.0;1.12496E-01;6.17576E-03;0.0
prof;-0.74883;-0.74875;0.10109;0.10116999999999997;2048;2048;1000;32;out.bmp;4.14847E-01;0.0;317.0818672180176;1.53198E-02;0.0;4.15468E-01;2.33457E-02;0.0
device;-0.74883;-0.74875;0.10109;0.10116999999999997;2048;2048;1000;32;out.bmp;4.90240E-01;0.0;317.0818672180176;1.23401E-02;0.0;4.91404E-01;2.32596E-02;0.0
unified;-0.74883;-0.74875;0.10109;0.10116999999999997;2048;2048;1000;32;out.bmp;4.90452E-01;0.0;317.0818672180176;1.25105E-02;0.0;4.90725E-01;2.28093E-02;0.0
pinned;-0.74883;-0.74875;0.10109;0.10116999999999997;2048;2048;1000;32;out.bmp;4.92211E-01;0.0;317.0818672180176;1.25411E-02;0.0;4.91641E-01;2.25537E-02;0.0
device2D;-0.74883;-0.74875;0.10109;0.10116999999999997;2048;2048;1000;32;out.bmp;4.14695E-01;0.0;317.0818672180176;1.24385E-02;0.0;4.15124E-01;2.33908E-02;0.0
unified2D;-0.74883;-0.74875;0.10109;0.10116999999999997;2048;2048;1000;32;out.bmp;4.90526E-01;0.0;317.0818672180176;1.24598E-02;0.0;4.92089E-01;2.27492E-02;0.0
pinned2D;-0.74883;-0.74875;0.10109;0.10116999999999997;2048;2048;1000;32;out.bmp;4.92940E-01;0.0;317.0818672180176;1.23062E-02;0.0;4.91458E-01;2.25680E-02;0.0
binariza2D;-0.74883;-0.74875;0.10109;0.10116999999999997;2048;2048;1000;32;out.bmp;4.14729E-01;0.0;317.0818672180176;1.22881E-02;0.0;4.15676E-01;2.32534E-02;0.0
mediaAlumnSum;-0.74883;-0.74875;0.10109;0.10116999999999997;2048;2048;1000;32;out.bmp;4.13248E-01;0.0;317.0818672180176;1.41473E-02;0.0;4.12874E-01;2.32863E-02;0.0
prof;-0.74883;-0.74875;0.10109;0.10116999999999997;4096;4096;1000;32;out.bmp;1.54968E+00;0.0;317.0758667588234;5.01373E-02;0.0;1.55294E+00;9.23898E-02;0.0
device;-0.74883;-0.74875;0.10109;0.10116999999999997;4096;4096;1000;32;out.bmp;1.69051E+00;0.0;317.0758667588234;4.78103E-02;0.0;1.58612E+00;9.24735E-02;0.0
unified;-0.74883;-0.74875;0.10109;0.10116999999999997;4096;4096;1000;32;out.bmp;1.67179E+00;0.0;317.0758667588234;4.72484E-02;0.0;1.69392E+00;8.93810E-02;0.0
pinned;-0.74883;-0.74875;0.10109;0.10116999999999997;4096;4096;1000;32;out.bmp;1.69450E+00;0.0;317.0758667588234;4.71737E-02;0.0;1.59588E+00;8.96473E-02;0.0
device2D;-0.74883;-0.74875;0.10109;0.10116999999999997;4096;4096;1000;32;out.bmp;1.54994E+00;0.0;317.0758667588234;4.69618E-02;0.0;1.55211E+00;9.23722E-02;0.0
unified2D;-0.74883;-0.74875;0.10109;0.10116999999999997;4096;4096;1000;32;out.bmp;1.69083E+00;0.0;317.0758667588234;4.73688E-02;0.0;1.69350E+00;8.91268E-02;0.0
pinned2D;-0.74883;-0.74875;0.10109;0.10116999999999997;4096;4096;1000;32;out.bmp;1.69204E+00;0.0;317.0758667588234;4.73619E-02;0.0;1.58955E+00;8.92193E-02;0.0
binariza2D;-0.74883;-0.74875;0.10109;0.10116999999999997;4096;4096;1000;32;out.bmp;1.54983E+00;0.0;317.0758667588234;4.74372E-02;0.0;1.55264E+00;9.21111E-02;0.0
mediaAlumnSum;-0.74883;-0.74875;0.10109;0.10116999999999997;4096;4096;1000;32;out.bmp;1.55327E+00;0.0;317.0758667588234;5.55518E-02;0.0;1.55746E+00;9.21912E-02;0.0
prof;-0.74883;-0.74875;0.10109;0.10116999999999997;8192;8192;1000;32;out.bmp;5.90734E+00;0.0;317.0715231448412;1.97066E-01;0.0;5.91239E+00;3.66574E-01;0.0
device;-0.74883;-0.74875;0.10109;0.10116999999999997;8192;8192;1000;32;out.bmp;6.11080E+00;0.0;317.0715231448412;1.87318E-01;0.0;6.04326E+00;3.67416E-01;0.0
unified;-0.74883;-0.74875;0.10109;0.10116999999999997;8192;8192;1000;32;out.bmp;6.12111E+00;0.0;317.0715231448412;1.86071E-01;0.0;6.07997E+00;3.53985E-01;0.0
pinned;-0.74883;-0.74875;0.10109;0.10116999999999997;8192;8192;1000;32;out.bmp;6.12297E+00;0.0;317.0715231448412;1.85556E-01;0.0;6.07555E+00;3.54437E-01;0.0
device2D;-0.74883;-0.74875;0.10109;0.10116999999999997;8192;8192;1000;32;out.bmp;5.91430E+00;0.0;317.0715231448412;1.84534E-01;0.0;5.92030E+00;3.66893E-01;0.0
unified2D;-0.74883;-0.74875;0.10109;0.10116999999999997;8192;8192;1000;32;out.bmp;6.12668E+00;0.0;317.0715231448412;1.84629E-01;0.0;6.06202E+00;3.54246E-01;0.0
pinned2D;-0.74883;-0.74875;0.10109;0.10116999999999997;8192;8192;1000;32;out.bmp;6.12697E+00;0.0;317.0715231448412;1.89234E-01;0.0;6.12736E+00;3.54525E-01;0.0
binariza2D;-0.74883;-0.74875;0.10109;0.10116999999999997;8192;8192;1000;32;out.bmp;5.91358E+00;0.0;317.0715231448412;1.85649E-01;0.0;5.91890E+00;3.66562E-01;0.0
mediaAlumnSum;-0.74883;-0.74875;0.10109;0.10116999999999997;8192;8192;1000;32;out.bmp;5.91319E+00;0.0;317.0715231448412;2.08029E-01;0.0;5.91850E+00;3.66648E-01;0.0
prof;-0.74883;-0.74875;0.10109;0.10116999999999997;10240;10240;1000;32;out.bmp;9.09855E+00;0.0;317.07275220870974;3.07924E-01;0.0;9.10427E+00;5.80537E-01;0.0
device;-0.74883;-0.74875;0.10109;0.10116999999999997;10240;10240;1000;32;out.bmp;9.38348E+00;0.0;317.07275220870974;2.91798E-01;0.0;9.38743E+00;5.73012E-01;0.0
unified;-0.74883;-0.74875;0.10109;0.10116999999999997;10240;10240;1000;32;out.bmp;9.38983E+00;0.0;317.07275220870974;2.88666E-01;0.0;9.53181E+00;5.52778E-01;0.0
pinned;-0.74883;-0.74875;0.10109;0.10116999999999997;10240;10240;1000;32;out.bmp;9.52163E+00;0.0;317.07275220870974;2.93175E-01;0.0;9.40849E+00;5.53109E-01;0.0
device2D;-0.74883;-0.74875;0.10109;0.10116999999999997;10240;10240;1000;32;out.bmp;9.14906E+00;0.0;317.07275220870974;2.89140E-01;0.0;9.15557E+00;5.73015E-01;0.0
unified2D;-0.74883;-0.74875;0.10109;0.10116999999999997;10240;10240;1000;32;out.bmp;9.52637E+00;0.0;317.07275220870974;2.92495E-01;0.0;9.52818E+00;5.52744E-01;0.0
pinned2D;-0.74883;-0.74875;0.10109;0.10116999999999997;10240;10240;1000;32;out.bmp;9.50878E+00;0.0;317.07275220870974;2.92403E-01;0.0;9.38828E+00;5.53191E-01;0.0
binariza2D;-0.74883;-0.74875;0.10109;0.10116999999999997;10240;10240;1000;32;out.bmp;9.14831E+00;0.0;317.07275220870974;2.89645E-01;0.0;9.15397E+00;5.72640E-01;0.0
mediaAlumnSum;-0.74883;-0.74875;0.10109;0.10116999999999997;10240;10240;1000;32;out.bmp;9.14739E+00;0.0;317.07275220870974;3.28176E-01;0.0;9.15474E+00;5.72838E-01;0.0
