alg;xmin;xmax;ymin;ymax;xres;yres;maxiter;ThpBlk;outfile;t_mandel;e_mandel;media;t_media;e_media;t_mandel;t_binarizado;e_binarizado
prof;-0.74883;-0.74875;0.10109;0.10116999999999997;1024;1024;1000;32;out.bmp;2.13259E-01;0.0;317.16965770721436;3.29292E-01;0.0;7.54187E-02;1.70135E-03;0.0
hetero;-0.74883;-0.74875;0.10109;0.10116999999999997;1024;1024;1000;32;out.bmp;1.36359E-01;5365.028890882136;317.168701171875;1.42479E-03;0.0009565353393554688;1.31384E-01;1.69158E-03;1508.6003446904022
prof;-0.74883;-0.74875;0.10109;0.10116999999999997;2048;2048;1000;32;out.bmp;2.14808E-01;0.0;317.0818672180176;3.74866E-03;0.0;2.14652E-01;6.46186E-03;0.0
hetero;-0.74883;-0.74875;0.10109;0.10116999999999997;2048;2048;1000;32;out.bmp;3.08290E-01;10574.1733010198;317.08017468452454;3.45182E-03;0.0016925334930419922;3.26347E-01;6.44255E-03;3017.2006893808043
prof;-0.74883;-0.74875;0.10109;0.10116999999999997;4096;4096;1000;32;out.bmp;8.03293E-01;0.0;317.0758667588234;1.37293E-02;0.0;8.03190E-01;2.53520E-02;0.0
hetero;-0.74883;-0.74875;0.10109;0.10116999999999997;4096;4096;1000;32;out.bmp;9.64483E-01;19994.09720392496;317.07763409614563;1.17686E-02;0.0017673373222351074;9.29369E-01;2.35016E-02;5604.201548838158
prof;-0.74883;-0.74875;0.10109;0.10116999999999997;8192;8192;1000;32;out.bmp;3.04362E+00;0.0;317.0715231448412;5.38731E-02;0.0;3.04551E+00;1.02519E-01;0.0
hetero;-0.74883;-0.74875;0.10109;0.10116999999999997;8192;8192;1000;32;out.bmp;3.88457E+00;39602.82385133666;317.0718148648739;4.51019E-02;0.00029172003269195557;3.88781E+00;9.21321E-02;11091.767217175087
prof;-0.74883;-0.74875;0.10109;0.10116999999999997;10240;10240;1000;32;out.bmp;4.71286E+00;0.0;317.07275220870974;8.41844E-02;0.0;4.71788E+00;1.57581E-01;0.0
hetero;-0.74883;-0.74875;0.10109;0.10116999999999997;10240;10240;1000;32;out.bmp;6.77153E+00;50502.157171748615;317.0720481777191;7.01327E-02;0.0007040309906187758;6.70210E+00;1.43306E-01;14204.667366749563
